,precision,recall,f1-score,support
circuits,0.9620253164556962,0.7835051546391752,0.8636363636363636,97.0
classification,0.625,0.5434782608695652,0.5813953488372093,46.0
clique,0.8787878787878788,0.8055555555555556,0.8405797101449275,36.0
clocks,0.8888888888888888,0.8,0.8421052631578947,20.0
closure-properties,0.7526315789473684,0.8125,0.7814207650273224,176.0
clustering,0.8095238095238095,0.5666666666666667,0.6666666666666666,30.0
coding-theory,0.6935483870967742,0.7288135593220338,0.7107438016528925,59.0
colorings,0.7735849056603774,0.82,0.7961165048543689,50.0
combinatorics,0.738255033557047,0.37800687285223367,0.5,291.0
combinatory-logic,1.0,1.0,1.0,40.0
communication-complexity,1.0,0.5,0.6666666666666666,16.0
communication-protocols,1.0,0.48148148148148145,0.65,27.0
comparison,1.0,0.7222222222222222,0.8387096774193549,18.0
compilers,0.7021276595744681,0.8181818181818182,0.7557251908396947,242.0
complexity-classes,0.6080402010050251,0.568075117370892,0.587378640776699,213.0
complexity-theory,0.6718241042345277,0.78125,0.7224168126094571,2112.0
computability,0.6480186480186481,0.7100893997445722,0.6776355880560634,783.0
computation-models,0.6105263157894737,0.5686274509803921,0.5888324873096447,204.0
computational-geometry,0.7952380952380952,0.8520408163265306,0.8226600985221675,392.0
computer-algebra,1.0,0.5,0.6666666666666666,24.0
computer-architecture,0.8472222222222222,0.7922077922077922,0.8187919463087249,308.0
computer-games,1.0,0.7222222222222222,0.8387096774193549,18.0
computer-networks,0.9508196721311475,0.7945205479452054,0.8656716417910447,73.0
computer-vision,0.9102564102564102,0.8765432098765432,0.8930817610062893,81.0
concurrency,0.7677419354838709,0.85,0.8067796610169492,140.0
consensus,0.8974358974358975,1.0,0.9459459459459459,35.0
constraint-programming,1.0,0.5714285714285714,0.7272727272727273,28.0
constraint-satisfaction,1.0,0.5277777777777778,0.6909090909090909,36.0
context-free,0.7871939736346516,0.88,0.831013916500994,475.0
context-sensitive,0.84375,0.8181818181818182,0.8307692307692308,66.0
convex-hull,0.75,1.0,0.8571428571428571,12.0
coq,0.9387755102040817,0.92,0.9292929292929293,50.0
correctness-proof,0.6796116504854369,0.5833333333333334,0.6278026905829597,120.0
counting,0.8048780487804879,0.55,0.6534653465346535,60.0
cpu,0.796875,0.85,0.8225806451612904,60.0
cpu-cache,0.875,0.8305084745762712,0.8521739130434782,59.0
cpu-pipelines,1.0,1.0,1.0,10.0
cryptography,0.7862595419847328,0.8110236220472441,0.7984496124031008,127.0
curry-howard,0.7368421052631579,0.6829268292682927,0.7088607594936709,41.0
dag,0.39285714285714285,0.5,0.44,22.0
data-compression,0.8434782608695652,0.8660714285714286,0.8546255506607929,112.0
data-mining,0.6818181818181818,0.5357142857142857,0.6,56.0
data-structures,0.7544696066746126,0.8146718146718147,0.7834158415841584,777.0
database-theory,0.8208955223880597,0.9016393442622951,0.859375,61.0
databases,1.0,0.8085106382978723,0.8941176470588236,47.0
deadlocks,1.0,1.0,1.0,14.0
decision-problem,0.7818181818181819,0.2087378640776699,0.32950191570881227,206.0
denotational-semantics,1.0,0.9130434782608695,0.9545454545454546,23.0
dependent-types,0.7821782178217822,0.8777777777777778,0.8272251308900523,90.0
descriptive-complexity,1.0,0.20833333333333334,0.3448275862068966,24.0
dictionaries,0.6666666666666666,0.5,0.5714285714285714,36.0
didactics,0.75,0.5714285714285714,0.6486486486486487,21.0
digital-circuits,0.7586206896551724,1.0,0.8627450980392157,22.0
discrete-mathematics,0.42857142857142855,0.16,0.23300970873786409,150.0
distributed-systems,0.8982035928143712,0.9259259259259259,0.9118541033434651,162.0
divide-and-conquer,0.7222222222222222,0.41935483870967744,0.5306122448979592,31.0
dynamic-programming,0.796875,0.6455696202531646,0.7132867132867133,237.0
edit-distance,0.8518518518518519,0.71875,0.7796610169491526,32.0
education,0.7051282051282052,0.6043956043956044,0.650887573964497,91.0
efficiency,0.5319148936170213,0.17482517482517482,0.2631578947368421,143.0
encoding-scheme,0.6744186046511628,0.7073170731707317,0.6904761904761905,41.0
encryption,0.88,1.0,0.9361702127659575,22.0
entropy,0.9607843137254902,0.9423076923076923,0.9514563106796117,52.0
enumeration,0.625,0.1724137931034483,0.2702702702702703,58.0
